arch_id,wing_place,tail_type,wingtip,prop_layout,engines,gear,score,e,CD0,D_proxy,bend,risk,mfg
arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,0.10365761362779957,0.8400000000000001,0.016,0.031157613627799556,3.375,0.0,-0.1
arch-mid-conv-raked-tractor-1eng-fixed,mid,conv,raked,tractor,1,fixed,0.10384948215473373,0.8295000000000001,0.016,0.031349482154733724,3.375,0.0,-0.1
arch-low-conv-none-tractor-1eng-fixed,low,conv,none,tractor,1,fixed,0.10441549430918955,0.8,0.016,0.03191549430918954,3.375,0.0,-0.1
arch-mid-conv-none-tractor-1eng-fixed,mid,conv,none,tractor,1,fixed,0.10461695626247042,0.79,0.016,0.032116956262470416,3.375,0.0,-0.1
arch-high-conv-raked-tractor-1eng-fixed,high,conv,raked,tractor,1,fixed,0.10704627038748674,0.8190000000000001,0.019,0.03454627038748672,3.375,0.0,-0.1
arch-low-twinboom-raked-tractor-1eng-fixed,low,twinboom,raked,tractor,1,fixed,0.10718261362779957,0.8400000000000001,0.0175,0.03265761362779956,3.4762500000000003,0.0,-0.1
arch-low-conv-winglet-tractor-1eng-fixed,low,conv,winglet,tractor,1,fixed,0.10728656880480514,0.8640000000000001,0.016,0.030736568804805124,3.5775,0.0,-0.1
arch-mid-twinboom-raked-tractor-1eng-fixed,mid,twinboom,raked,tractor,1,fixed,0.10737448215473373,0.8295000000000001,0.0175,0.032849482154733725,3.4762500000000003,0.0,-0.1
arch-mid-conv-winglet-tractor-1eng-fixed,mid,conv,winglet,tractor,1,fixed,0.10747310765043558,0.8532000000000001,0.016,0.030923107650435572,3.5775,0.0,-0.1
arch-high-twinboom-raked-tractor-1eng-fixed,high,twinboom,raked,tractor,1,fixed,0.11057127038748674,0.8190000000000001,0.0205,0.03604627038748672,3.4762500000000003,0.0,-0.1
