wing_place,tail_type,wingtip,prop_layout,engines,gear,e,CD0,D_proxy,sc_pen,bend,risk,mfg,score
low,conv,raked,tractor,1,fixed,0.8400000000000001,0.016,0.031157613627799556,0.0,3.375,0.0,-0.1,0.10365761362779957
mid,conv,raked,tractor,1,fixed,0.8295000000000001,0.016,0.031349482154733724,0.0,3.375,0.0,-0.1,0.10384948215473373
low,conv,none,tractor,1,fixed,0.8,0.016,0.03191549430918954,0.0,3.375,0.0,-0.1,0.10441549430918955
mid,conv,none,tractor,1,fixed,0.79,0.016,0.032116956262470416,0.0,3.375,0.0,-0.1,0.10461695626247042
high,conv,raked,tractor,1,fixed,0.8190000000000001,0.019,0.03454627038748672,0.0,3.375,0.0,-0.1,0.10704627038748674
low,twinboom,raked,tractor,1,fixed,0.8400000000000001,0.0175,0.03265761362779956,0.0,3.4762500000000003,0.0,-0.1,0.10718261362779957
low,conv,winglet,tractor,1,fixed,0.8640000000000001,0.016,0.030736568804805124,0.0,3.5775,0.0,-0.1,0.10728656880480514
mid,twinboom,raked,tractor,1,fixed,0.8295000000000001,0.0175,0.032849482154733725,0.0,3.4762500000000003,0.0,-0.1,0.10737448215473373
mid,conv,winglet,tractor,1,fixed,0.8532000000000001,0.016,0.030923107650435572,0.0,3.5775,0.0,-0.1,0.10747310765043558
high,conv,none,tractor,1,fixed,0.78,0.019,0.035323583906861064,0.0,3.375,0.0,-0.1,0.10782358390686107
low,twinboom,none,tractor,1,fixed,0.8,0.0175,0.03341549430918954,0.0,3.4762500000000003,0.0,-0.1,0.10794049430918955
mid,twinboom,none,tractor,1,fixed,0.79,0.0175,0.03361695626247042,0.0,3.4762500000000003,0.0,-0.1,0.10814195626247042
high,twinboom,raked,tractor,1,fixed,0.8190000000000001,0.0205,0.03604627038748672,0.0,3.4762500000000003,0.0,-0.1,0.11057127038748674
high,conv,winglet,tractor,1,fixed,0.8424,0.019,0.03411442954338987,0.0,3.5775,0.0,-0.1,0.11066442954338987
low,twinboom,winglet,tractor,1,fixed,0.8640000000000001,0.0175,0.032236568804805125,0.0,3.684825,0.0,-0.1,0.11093306880480513
mid,twinboom,winglet,tractor,1,fixed,0.8532000000000001,0.0175,0.03242310765043557,0.0,3.684825,0.0,-0.1,0.11111960765043558
