config_id,arch_id,wing_place,tail_type,wingtip,prop_layout,engines,gear,fam_name,AR,taper,dihedral_deg,twist_root_deg,twist_tip_deg,airfoil,arch_score,W,climb_ok,cruise_ok,LD_cruise
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw2_-1_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.5,5,2,-1,ag13,0.1036576136277995,20.0,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw2_-2_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.5,5,2,-2,ag13,0.1036576136277995,20.0,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw3_-1_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.5,5,3,-1,ag13,0.1036576136277995,20.0,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw3_-2_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.5,5,3,-2,ag13,0.1036576136277995,20.0,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw2_-1_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.5,10,2,-1,ag13,0.1036576136277995,20.0,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw2_-2_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.5,10,2,-2,ag13,0.1036576136277995,20.0,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw3_-1_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.5,10,3,-1,ag13,0.1036576136277995,20.0,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw3_-2_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.5,10,3,-2,ag13,0.1036576136277995,20.0,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw2_-1_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.7,5,2,-1,ag13,0.1036576136277995,20.0,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw2_-2_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.7,5,2,-2,ag13,0.1036576136277995,20.0,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw3_-1_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.7,5,3,-1,ag13,0.1036576136277995,20.0,,,
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw3_-2_ag13,arch-low-conv-raked-tractor-1eng-fixed,low,conv,raked,tractor,1,fixed,wingA,8.5,0.7,5,3,-2,ag13,0.1036576136277995,20.0,,,
