config_id,W,AR_w,taper_w,dihedral_w_deg,twist_root_w_deg,twist_tip_w_deg,b_w,tail_span_frac,tail_AR,boom_length_m,tail_incidence_deg,delta_e_cr_deg,delta_e_cl_deg,Lf,df,fineness,alpha_cruise_deg,alpha_climb_deg,D_cruise,D_climb,score
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw2_-2_ag13,20.0,7.881738777971502,0.7999999826586481,3.000005880145676,3.2399610008860424,-1.5000011063577243,1.403721729721698,0.22134826373061234,3.1624854352642897,0.2800000759734843,-0.14088284955356695,-5.016105354927964,2.715464604941328,0.448291942655737,0.0842642099003004,5.320075310575468,1.2095546997937603,3.6309328358673736,1.3398817350715049,1.242585866292592,1.650528201644653
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw3_-1_ag13,20.0,7.881738778077067,0.7999999826571563,3.000005880154278,3.239961000446832,-1.5000011063593508,1.4037217297310984,0.22134826317779685,3.162485419912837,0.2800000759735575,-0.14088284967223375,-5.016105366495318,2.715464614977437,0.44829194283391827,0.08426420993464762,5.320075310521488,1.2095547000506557,3.630932836597501,1.3398817351855619,1.2425858662912774,1.650528201758381
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih5_tw3_-2_ag13,20.0,7.881738777944292,0.7999999826570785,3.0000058801601677,3.239961014319438,-1.500001106360462,1.4037217297192748,0.22134830722739485,3.162486643142445,0.28000007598060794,-0.14088284609917973,-5.016104503945604,2.7154638115568277,0.4482919428434848,0.08426420993374924,5.320075310691737,1.2095546953095961,3.630932786969044,1.3398817429718965,1.2425858754169024,1.6505282118261222
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw2_-1_ag13,20.0,7.881738777979474,0.7999999826586722,3.0000058301401515,3.2399610046299645,-1.500001106356665,1.4037217297224078,0.22134826317857012,3.16248541990671,0.28000007597336596,-0.14088284937633222,-5.016105364578913,2.7154646171624752,0.4482919428339314,0.08426420993464459,5.320075310521835,1.2095546976463618,3.6309328340422704,1.3398817351675205,1.242585866269513,1.6505282017348988
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw2_-2_ag13,20.0,7.881738777955639,0.7999999826571937,3.0000058301456054,3.23996100487788,-1.5000011063576961,1.4037217297202853,0.2213482631756317,3.162485419919902,0.2800000759734396,-0.14088284937701528,-5.016105364419904,2.7154646172808223,0.44829194265564,0.08426420990030951,5.32007531057374,1.2095546974963205,3.630932833940733,1.3398817349522207,1.2425858661416658,1.6505282014876372
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw3_-1_ag13,20.0,7.88173877798572,0.7999999826571569,3.0000058301542323,3.2399610079970333,-1.5000011063593275,1.403721729722964,0.22134826318180897,3.162485419934475,0.2800000759728299,-0.14088284925090214,-5.016105363375247,2.715464618756659,0.44829194051603594,0.08426420948829147,5.320075311195154,1.209554695883638,3.630932832329967,1.339881732390702,1.2425858645168575,1.6505281985199163
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.5_dih10_tw3_-2_ag13,20.0,7.881738777952843,0.7999999826571217,3.000005830160074,3.239961007196216,-1.5000011063604315,1.4037217297200364,0.22134827136096474,3.162485647163147,0.2800000759749389,-0.14088284876948454,-5.016105204322218,2.71546446795054,0.4482919428357331,0.08426420993447777,5.320075310553749,1.2095546967693185,3.6309328248355075,1.339881736613357,1.2425858679657313,1.65052820360479
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw2_-1_ag13,20.0,7.881738752982281,0.7999999803772266,3.0000064136414712,3.2399602423138356,-1.5000012072388818,1.403721727496433,0.22134832970346371,3.16248728061024,0.2800000831694284,-0.1408844294504587,-5.016103183476593,2.7154644767397964,0.4482919430026098,0.08426420983266357,5.320075318962252,1.2095551857942772,3.6309332451256675,1.3398817485560715,1.2425858794175906,1.650528218410469
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw2_-2_ag13,20.0,7.881738752993342,0.7999999803772287,3.000006413647158,3.2399602253540336,-1.50000120723996,1.403721727497418,0.2213482811079806,3.162485931124253,0.2800000831681994,-0.14088443624700134,-5.016104133186124,2.7154653650239613,0.4482919435270487,0.08426420993665235,5.3200753186205985,1.209555191943903,3.6309333007826425,1.339881740612592,1.2425858697612582,1.6505282080529065
arch-low-conv-raked-tractor-1eng-fixed__wingA_AR8.5_tap0.7_dih5_tw3_-1_ag13,20.0,7.881738752993117,0.7999999803771997,3.000006413654144,3.2399602248699546,-1.5000012072412812,1.403721727497398,0.22134828069815238,3.1624859196805053,0.2800000831682223,-0.14088443620212138,-5.016104141420378,2.7154653722659488,0.44829194352696716,0.08426420993666088,5.320075318619091,1.2095551921848644,3.630933301430367,1.3398817405411336,1.24258586967549,1.650528207960006
